NAME,ISO_A3,Mg_Carbon_Yr_total_max
Brazil,BRA,151822263
China,CHN,114430060.1
India,IND,114008112
Mexico,MEX,30023773.65
United States of America,USA,29853474.69
Thailand,THA,29072105.57
Indonesia,IDN,24753725.16
Russia,RUS,24145902.03
Madagascar,MDG,23789365.21
Myanmar,MMR,23739279.24
Colombia,COL,22359171.11
Peru,PER,19572176.84
Bolivia,BOL,15103915.93
Venezuela,VEN,15058991
Cambodia,KHM,14710447.48
Bangladesh,BGD,14393392.33
Vietnam,VNM,14164700.19
Philippines,PHL,10625205.16
Canada,CAN,10368158.25
Turkey,TUR,10119162.77
Iran,IRN,9792321.783
Dem. Rep. Congo,COD,9505222.763
United Kingdom,GBR,8755164.958
Australia,AUS,8447523.583
Chile,CHL,8240865.994
France,-99,8112947.85
Germany,DEU,7049848.13
Somalia,SOM,6700431.67
Poland,POL,5741431.24
Mozambique,MOZ,5483948.712
Ukraine,UKR,5322790.109
Ecuador,ECU,4607559.868
Tanzania,TZA,4460485.004
Cuba,CUB,4341096.707
New Zealand,NZL,4146718.413
Nigeria,NGA,3948246.083
Laos,LAO,3912095.562
Mongolia,MNG,3846341.632
Kenya,KEN,3757335.016
Romania,ROU,3579761.93
C̫te d'Ivoire,CIV,3477744.44
Belarus,BLR,3302705.314
Italy,ITA,3260150.933
Guatemala,GTM,3105951.947
Argentina,ARG,2942364.936
Nepal,NPL,2769663.95
Paraguay,PRY,2754114.334
Ireland,IRL,2732107.886
Hungary,HUN,2714898.424
North Korea,PRK,2591034.39
